;country;2011 population;2012 population;2013 population;2014 population;2015 population;2016 population;2017 population;2011 mean;2012 mean;2013 mean;2014 mean;2015 mean;2016 mean;2017 mean;2011 min;2012 min;2013 min;2014 min;2015 min;2016 min;2017 min;2011 max;2012 max;2013 max;2014 max;2015 max;2016 max;2017 max;2011 sd;2012 sd;2013 sd;2014 sd;2015 sd;2016 sd;2017 sd
Sofia;BG;;;;;;1200000;;;;;;;29.11224583;;;;;;;20.785275;;;;;;;39.47402667;;;;;;;6.208762935;
Granby;CA;;;;55255;55255;;;;;;22.87476505;61.84301356;;;;;;14.81741019;52.08940367;;;;;;27.66374084;67.91240612;;;;;;4.171888803;5.945590778;;
Montreal;CA;;;;1958257;1958257;;;;;;9.625242779;24.88987743;;;;;;7.04774403;22.55893889;;;;;;12.54696028;26.94224915;;;;;;1.670473037;1.923318867;;
Basel;CH;;260000;260000;260000;260000;260000;260000;;0;33.88532967;16.55663187;39.50104396;27.40196802;31.53862821;;;14.76884615;10.17846154;4.328461538;22.09646538;26.80707692;;;56.54769231;32.56153846;49.77576923;31.31961;40.58538462;;;15.36878406;7.278478448;16.84121274;2.938167143;5.220504187
Berne;CH;;206655;206655;206655;206655;206655;206655;;33.04801999;19.06075343;18.11505719;26.14747146;24.16733573;53.31045711;;26.40734558;14.10853839;16.02990491;19.70472527;20.39879335;38.19272411;;45.19005105;28.42612083;21.32162299;39.0285258;27.54498164;66.84729331;;6.096152834;4.925078602;1.90120689;7.20805176;2.816455394;9.07055188
Biel;CH;;;;82285;;;;;;;19.31044019;;;;;;;12.39459197;;;;;;;26.02228839;;;;;;;5.626368656;;;
Chur;CH;;;;52800;52800;;;;;;8.466797273;17.4502694;;;;;;1.091098485;11.998015;;;;;;14.08451705;24.9560671;;;;;;5.056373103;4.621620243;;
Geneva;CH;;410486;410486;417200;417200;417200;417200;;38.95966969;0;0;5.984366183;9.855425447;14.64082793;;14.8841617;;;4.350805369;5.548750182;11.33493337;;70.98372173;;;7.42358581;15.70474904;20.89269966;;27.74069911;;;1.010187493;4.628308302;3.150346753
Lausanne;CH;;;;220000;220000;;;;;;7.261525443;10.60103653;;;;;;4.798777745;8.058926941;;;;;;13.40724364;13.30392134;;;;;;2.978759997;1.999570085;;
Lugano;CH;;;;103561;103561;103561;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;
Luzern;CH;;;;174800;174800;;;;;;25.18288395;31.2361562;;;;;;17.02642325;23.74532447;;;;;;42.69736598;63.61085437;;;;;;9.094933517;14.3305987;;
Neuchatel;CH;;;;50000;50000;;;;;;10.5298176;20.83751;;;;;;7.36891456;15.4428576;;;;;;14.34520524;34.3291008;;;;;;3.244833661;7.475752948;;
Sion;CH;;;;45000;45000;;;;;;0;10.33864981;;;;;;;6.255274667;;;;;;;17.0279304;;;;;;;3.836393237;;
St.Gallen (2);CH;;89000;89000;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
St.Gallen A;CH;;37000;37000;;;;;;0;96.00615444;;;;;;;18.20978378;;;;;;;172.9907027;;;;;;;70.1186651;;;;
St.Gallen H;CH;;52000;52000;52000;52000;52000;52000;;0;0;65.13461264;31.20376374;33.08587591;43.92141758;;;;12.08738462;24.32307692;24.38782769;38.26307692;;;;172.5507692;42.06980769;46.92641731;49.49134615;;;;64.26768274;6.565479738;8.11148114;4.312346799
Winterthur;CH;;;;125000;125000;;;;;;19.84984114;28.40717714;;;;;;14.027648;21.65856;;;;;;26.581392;40.608;;;;;;4.940824885;7.10093236;;
Zurich;CH;;410000;410000;410000;410000;410000;410000;;0;42.65340836;25.65158456;23.91823972;35.07663318;46.71456286;;;13.15291463;13.33142122;18.77261707;24.85938863;42.00555927;;;65.12452683;53.27423585;37.33463415;47.57047637;54.88956;;;19.14215124;14.2379261;6.260402415;8.660888288;4.310203024
Bogota;CO;;;;;2500000;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;
Medellin;CO;;;;;6.00E+05;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;
Limassol;CY;;;272000;;120000;120000;120000;;;3.831758929;;6.074895952;8.071870238;9.699995595;;;2.5437775;;5.1552;5.2256;8.355783333;;;5.026623333;;8.477210833;13.03746667;10.648885;;;0.953740983;;1.114039433;2.747306257;1.019756499
Nicosia;CY;;;28000;;28000;28000;28000;;;3.339117857;;1.553376204;3.947038587;4.932491122;;;2.730857143;;1.103327;1.510568571;4.030585714;;;4.024721429;;2.63017;7.139567214;6.80475;;;0.546345367;;0.551108378;2.008081782;0.887534005
Brno;CZ;;;;;;;445000;;;;;;;9.023260995;;;;;;;5.087932584;;;;;;;11.87062247;;;;;;;2.513545997
Budweis;CZ;112000;112000;110300;;110300;110300;110300;28.50604286;20.13253827;20.6091957;;18.5079083;21.54277296;8.326150758;20.1997;7.457142857;18.66183137;;14.71365367;15.92931097;6.477733454;37.4262;25.51875;22.99637353;;21.73330916;27.82331822;10.79269266;6.698698746;6.741651192;1.741552667;;2.276464833;4.623939873;1.792212432
Prague;CZ;;1300000;1300000;;;;;;32.40565385;36.24469833;;;;;;29.38323077;34.08388;;;;;;38.34769231;40.41254646;;;;;;3.049214726;2.45849594;;;;
Berlin (4);DE;;;;3840000;3840000;;3993500;;;;114.8543908;122.1197017;;130.0421836;;;;92.21728229;109.8401573;;98.08933166;;;;150.4044113;140.8841396;;181.6955829;;;;22.27584355;12.93655286;;28.47383936
Chemnitz;DE;;;;;;;239402;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
Dortmund;DE;;;371788;371788;371788;371788;371788;;;92.19174697;138.2870238;163.3953328;150.3853144;181.6733815;;;80.56232073;85.25439229;141.0211518;100.2529398;141.9113258;;;119.5757892;181.2970402;190.7717516;184.8752865;288.4513325;;;12.83291687;37.07331736;19.31912925;36.4955783;48.76586563
Dresden;DE;;;593050;593050;593050;669675;669675;;;0;22.00981319;17.3591993;22.63071405;23.43340085;;;;9.639153528;9.733496333;20.19665509;19.65572853;;;;33.00233707;25.23329905;28.20646433;30.03834995;;;;8.005577211;7.042735036;2.884763424;3.532522693
Dülmen;DE;;;34495;34495;34495;34046;44428;;;62.98578262;67.63053859;62.1509011;176.9681314;106.0212543;;;50.16066097;48.63406291;41.5526888;110.2052223;88.82614567;;;91.39724598;100.7369184;99.54138281;226.8451507;135.3049428;;;13.77671905;22.01493115;22.87581865;39.54594128;19.468454
Erfurt;DE;;;;;;;213977;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
Frankfurt (3);DE;;;;;;;1118389;;;;;;;84.66592572;;;;;;;77.59834905;;;;;;;93.59376746;;;;;;;6.110335748
Hamburg (2);DE;;;;;;;2050000;;;;;;;69.20393024;;;;;;;57.86242732;;;;;;;83.84548585;;;;;;;10.70994833
Hannover (2);DE;;;;;;;740000;;;;;;;83.01880487;;;;;;;71.28884759;;;;;;;99.99319599;;;;;;;10.61452427
Magdeburg;DE;;;;;;;278236;;;;;;;97.91182357;;;;;;;83.84938685;;;;;;;111.0056463;;;;;;;9.180696337
Mainz;DE;;;;;;;200344;;;;;;;226.882731;;;;;;;203.888099;;;;;;;254.6138342;;;;;;;16.60983499
Munich (2);DE;;;;;;1739040;1701626;;;;;;25.4542275;26.57801966;;;;;;21.63572608;19.97671639;;;;;;28.54223662;30.75068435;;;;;;2.591905176;4.196763384
Munich G;DE;;;;1.00E+06;1.00E+06;1043424;1064497;;;;22.18709714;0;26.16869283;25.52677126;;;;13.32;;21.76589574;17.03809405;;;;38.517;;34.98881998;33.20103298;;;;11.32042136;;4.588314351;6.136711084
Munich M;DE;;;;;;695616;637129;;;;;;24.38252951;28.33441557;;;;;;18.87236158;23.01140899;;;;;;32.14114877;45.01060853;;;;;;5.004269976;7.73770512
Nuremberg;DE;;;;;;;453914;;;;;;;41.65048743;;;;;;;26.6593812;;;;;;;52.54144003;;;;;;;10.89238969
Rostock;DE;;;;;;;237316;;;;;;;149.988249;;;;;;;112.9451462;;;;;;;176.6247502;;;;;;;23.56106915
Saarbrucken (2);DE;;;;;;;203164;;;;;;;241.9836885;;;;;;;216.109858;;;;;;;285.6549113;;;;;;;22.58848789
Stuttgart;DE;;;;;;;602000;;;;;;;69.93515607;;;;;;;63.96247176;;;;;;;78.91380643;;;;;;;6.053733101
Copenhagen;DK;;;531000;531000;531000;;;;;30.64259645;;14.67890234;;;;;25.43664783;;7.495435028;;;;;37.21580038;;55.01340113;;;;;4.284616514;;17.78739656;;
Barcelona;ES;1162000;1162000;1162000;1150874;1150874;1149722;1154819;15.41062857;13.37238196;21.1111723;29.78984124;30.25035793;45.63853656;42.31938301;7.3993;10.58992566;16.22197608;20.8883393;21.4370939;41.55676218;32.98219721;25.2871;16.72100331;27.99151155;43.55702709;45.88923288;52.05611965;56.50575112;5.705140453;2.228971917;4.144317808;8.562544486;7.607207812;4.203650931;8.538932366
Castellon;ES;170600;204878;204878;180690;180690;171669;171669;0;0;8.605902049;0;0;0;0;;;4.379269614;;;;;;;10.41961558;;;;;;;2.262147879;;;;
Molina de Segura;ES;;;;;70709;70709;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;
Santiago;ES;136500;136500;136500;136500;136500;136500;136500;33.84275;0;0;0;0;0;6.420681423;22.2865;;;;;;3.845054945;41.2037;;;;;;17.31114359;6.970572346;;;;;;4.847064969
Valencia (3);ES;;;1357952;1357952;1310859;1310859;1191210;;;7.96151515;14.72532899;13.15071803;7.47592432;22.10914883;;;5.312753282;7.443656033;9.581315334;5.99604467;17.91251408;;;11.64096877;22.56062277;20.34693792;9.796619365;25.32713842;;;2.529166888;5.567126806;3.627919292;1.641871481;2.726195733
Espoo;FI;;;;3.00E+05;3.00E+05;3.00E+05;3.00E+05;;;;48.62756924;85.12378706;71.84712494;38.14205138;;;;41.52705315;67.78270437;57.12988882;30.1371343;;;;60.07196776;114.4730303;93.27628166;49.0894448;;;;7.64466561;19.05815496;14.2787133;7.161602244
Helsinki;FI;780000;780000;780000;8.00E+05;8.00E+05;8.00E+05;8.00E+05;;43.73034104;94.51492288;68.52849375;117.0958661;100.7741131;47.81365995;;30.20738769;66.77766582;57.58622625;94.91938374;80.269992;38.06229665;;59.08229154;127.3369006;89.37825;144.8863396;132.1147485;63.76472713;;8.732960099;21.12371417;11.83894605;20.25286089;20.33094612;9.439155176
Joensuu;FI;;;;75000;;81849;;;;;21.0181621;;31.25101792;;;;;11.59648;;22.4192849;;;;;28.77453333;;37.15793532;;;;;5.811811937;;5.468253742;
Jyväskylä;FI;;;;135000;;135000;;;;;49.87074921;;28.26163961;;;;;45.76633333;;14.60551618;;;;;54.91405926;;53.25402141;;;;;3.62455829;;16.34474335;
Kotka;FI;;;;72500;;72500;;;;;104.9932138;;80.2666307;;;;;90.7070069;;67.92985832;;;;;114.2575862;;95.1648571;;;;;9.149227216;;10.58742783;
Kuopio;FI;;;;80000;;85588;;;;;43.27107107;;37.87433754;;;;;25.9026975;;18.18067775;;;;;72.71355;;58.81613387;;;;;16.98746509;;15.8214675;
Lahti;FI;;;;63000;;63000;;;;;139.6156803;;119.8570753;;;;;110.6644603;;80.00173638;;;;;166.9578095;;139.8180024;;;;;20.52516264;;19.40775553;
Lappeenranta;FI;;;;60000;;60000;;;;;22.87915119;;40.11903434;;;;;18.788605;;26.22755825;;;;;29.7865;;55.7624654;;;;;4.100749701;;10.66893857;
Oulu;FI;;;;195000;;174500;;;;;24.85601934;;32.58231188;;;;;21.48918615;;25.82342493;;;;;27.18916923;;40.2210824;;;;;2.05306165;;5.008939196;
Rovaniemi;FI;;;;49000;;49000;;;;;46.39267289;;73.96681941;;;;;29.93332245;;54.10934008;;;;;61.70861224;;95.82499057;;;;;11.54588999;;15.81855486;
Savonlinna;FI;;;;28000;;28000;;;;;19.63032755;;13.76123713;;;;;12.42332143;;10.61802;;;;;28.61785714;;20.732375;;;;;6.885949151;;3.928958945;
Tampere;FI;;;;2.00E+05;2.00E+05;2.00E+05;2.00E+05;;;;41.86868114;53.21661616;78.19253134;42.86895059;;;;34.656914;37.28294973;65.54845974;37.225223;;;;53.524965;67.3462752;88.24624854;55.863204;;;;7.909941469;12.5581867;8.714498666;6.599482833
Turku;FI;275000;275000;275000;285000;285000;285000;3.00E+05;;43.60825431;63.98824157;62.39451378;84.47142115;72.02862311;64.77405189;;24.22309737;49.49121997;47.57658947;68.24747198;57.28608053;41.97605447;;58.09199719;86.85538295;86.62347368;101.8595823;89.4624204;109.1757195;;10.71827964;13.62521599;13.83323586;14.05281331;12.56968518;22.56878391
Vaasa;FI;;;;67000;;69252;;;;;42.60148785;;29.70387426;;;;;30.47972239;;26.57970152;;;;;57.24783582;;34.57735108;;;;;9.485815103;;2.992744162;
Bordeaux (2);FR;;;;;;;481638;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
Bordeaux II;FR;;;;;;;227300;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
Bordeaux I;FR;;;;;;254338;254338;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;
Fort-de-France D;FR;;;;16500;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
Fort-de-France P;FR;;;;19000;19000;;19000;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;
Paris G;FR;;245500;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
Paris SC;FR;774600;;1004000;849662;643910;538943;461866;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
Paris South Suburbs;FR;;;;;;;85263;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
Bristol;GB;;;;886650;886650;886650;886650;;;;82.98595164;82.63589426;105.6122136;53.7576565;;;;70.90750871;75.18638978;59.51213052;41.81832935;;;;92.4191021;89.60400609;160.5009344;60.50055563;;;;7.834574358;5.472001126;37.19608099;6.650332226
London;GB;3400000;;3400000;3400000;3400000;3400000;;37.59573333;;0;0;0;0;;26.3063;;;;;;;46.1952;;;;;;;8.27868176;;;;;;
Athens;GR;;;3700000;3700000;3700000;3700000;3700000;;;16.05691985;16.83635654;10.43177531;4.610957981;2.241027143;;;12.11185784;9.41004019;5.051016;2.45705327;0.939;;;18.82703595;24.99722756;13.07580195;7.925327568;3.180648649;;;2.278885367;6.036663911;2.658256163;1.876730868;0.693245014
Mytilene;GR;;;;;26000;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;
Thessaloniki;GR;;;;850000;850000;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
Zagreb;HR;650000;650000;650000;650000;650000;650000;650000;14.59768571;12.13498493;9.998716945;15.65448681;76.71278383;72.2314211;56.32278286;10.9974;7.248351489;4.060359692;9.479741538;28.90102705;40.41205385;39.29192308;20.6403;20.35428393;15.83201415;23.62198308;169.9604022;137.3268369;70.14366462;3.284884472;5.004428231;4.23730393;5.822846691;60.66087933;34.9445866;10.48696154
Tel-Aviv;IL;;;;;;2500000;;;;;;;2.805224506;;;;;;;1.605049544;;;;;;;4.022135669;;;;;;;0.807950622;
Reykjavik (2);IS;;;;;;186000;184292;;;;;;123.0981793;117.5718051;;;;;;106.2046691;88.69304256;;;;;;146.3830901;144.018245;;;;;;15.86516796;17.17197107
Reykjavik N;IS;;;;;93000;93000;97168;;;;;133.9415591;113.1377671;169.9139358;;;;;103.1458065;71.50906667;144.5469187;;;;;182.5080645;128.7720473;203.565042;;;;;26.60554482;21.74824318;20.02389977
Bari;IT;;;;;;;459650;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
Bologna;IT;;;;;;;5.00E+05;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
Gorizia;IT;;;;;;;34844;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
Milan;IT;1250000;1100000;1149477;1122501;1122501;1140000;1080000;11.05472857;0;;0;2.720112748;0;0;4.4289;;;;1.791713326;;;15.468;;;;4.761126404;;;3.306578145;;;;1.203894969;;
Palermo;IT;;;;;;;360000;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
Potenza;IT;;;;;;;90000;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
Busan;KR;;;;;1164950;;;;;;;1.316588434;;;;;;;0.739511952;;;;;;;1.798342722;;;;;;;0.341471;;
Bendern;LI;;;;37000;37000;;;;;;55.73953436;20.49176448;;;;;;12.71262162;12.31654054;;;;;;122.6841081;36.54264865;;;;;;39.5668823;7.995723779;;
Vilnius;LT;;;;;;;545280;;;;;;;13.07611974;;;;;;;10.77505318;;;;;;;18.00867444;;;;;;;2.460820311
Malta;MT;;;;;296297;;;;;;;3.717411416;;;;;;;2.597841173;;;;;;;5.944906199;;;;;;;1.131190788;;
Amsterdam;NL;694800;769000;769000;769000;769000;;769000;123.571;27.59250189;70.80787722;89.93663197;59.05748654;;123.2949239;70.7302;17.14859077;33.33792215;23.8224593;16.09547029;;95.59201458;181.6429;35.56787683;157.0599558;155.4051581;106.6995099;;164.3017776;46.60898278;6.782710576;42.86206525;42.01790242;34.00129269;;25.05755811
Eindhoven;NL;448700;450300;450300;450300;450300;450300;450300;3039.781571;416.7469213;1129.505559;203.7285938;607.1914256;9210.629579;271.727141;135.8182;167.9166248;177.092318;141.3733585;40.82668133;672.9515072;168.5007629;9372;863.5270517;2459.902931;324.0274242;2117.342653;32843.93491;696.8910429;3844.741272;263.4200696;1054.66176;71.87385135;742.7604161;12173.76219;191.1437761
Nieuwegein Ijssel.;NL;;;;;;;96000;;;;;;;81.0897692;;;;;;;66.11860032;;;;;;;100.6981781;;;;;;;12.07178801
Oudewater;NL;;;;;;;10110;;;;;;;238.3841996;;;;;;;208.5339531;;;;;;;261.4426636;;;;;;;19.79573522
Utrecht;NL;297000;3.00E+05;3.00E+05;3.00E+05;3.00E+05;3.00E+05;3.00E+05;83.45857143;46.66749179;46.52044446;111.0648748;36.4332576;97.93862787;74.88945995;54.0364;38.5053237;29.7991375;42.0687048;14.58902667;66.45665867;67.10980683;103.6667;60.4223173;76.410713;268.2050617;55.1346122;116.0101206;83.02139826;17.48661961;6.942083582;20.77096984;91.8445884;16.4220467;19.99691396;7.185236195
Oslo;NO;557000;557000;576000;580639;580639;580639;580639;12.30731429;88.58436894;63.98576885;;122.303948;115.5874457;63.8117657;10.4931;55.86072352;46.59944965;;88.57263033;104.5630596;45.07149451;16.9537;128.5803124;77.15272222;;142.1714163;130.543522;93.76536753;2.117211131;30.23715127;11.51043584;;22.48716404;9.536456249;20.76124439
Auckland (2);NZ;;;;;1332000;;;;;;;11.02879216;;;;;;;7.65505476;;;;;;;13.75219498;;;;;;;2.195063151;;
Krakow (2);PL;;;;;;930000;930000;;;;;;35.00903241;28.32517052;;;;;;27.7930138;23.33014113;;;;;;52.02801001;34.16464355;;;;;;7.768066336;4.786277548
Almada;PT;;;;138685;138685;138685;138685;;;;1.063252283;1.887216148;0;1.312927377;;;;0.382161012;1.221473123;;0;;;;2.686664023;3.093341025;;3.674514187;;;;0.878564539;0.657430442;;1.288871584
Lisbon;PT;;;426964;;426964;426964;426964;;;0;;3.2281994;3.328309714;3.043768327;;;;;0.74723513;2.091979652;2.295228638;;;;;7.383638902;5.097127627;4.178858171;;;;;2.654986291;1.206027786;0.835307563
Porto;PT;;;;;150000;150000;150000;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;
Alba Iulia;RO;;;;;;63000;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
Cluj Napoca;RO;;;350000;;;360000;;;;0;;;2.438373016;;;;;;;1.630555556;;;;;;;3.03;;;;;;;0.595473159;
Beograd;RS;;;;;;5.00E+05;;;;;;;12.72021;;;;;;;8.4216;;;;;;;20.8656;;;;;;;4.11594105;
Novi Sad;RS;;;321282;;;;;;;25.66784217;;;;;;;20.07504311;;;;;;;42.92005154;;;;;;;8.566619964;;;;
Gothenburg;SE;;664441;664441;;;;;;87.13626581;215.2761279;;;;;;75.149318;134.7569581;;;;;;124.9786108;266.5491383;;;;;;17.34414256;41.74710805;;;;
Stockholm (2);SE;;;;;;784000;;;;;;;208.8483473;;;;;;;181.7178316;;;;;;;226.4539286;;;;;;;16.30954408;
Stockholm H;SE;315000;;;;;326000;;32.79754286;;;;;200.6897677;;23.3223;;;;;165.8315337;;46.4619;;;;;228.2480982;;8.844759739;;;;;21.15521129;
Stockholm S;SE;;;;;;458000;;;;;;;214.6555459;;;;;;;156.8279476;;;;;;;236.1886463;;;;;;;26.72577967;
Umeå;SE;115800;115800;115800;;;;;13.82102857;0;29.99096965;;;;;7.2212;;13.21450777;;;;;22.1565;;48.84766839;;;;;5.020399521;;11.91669108;;;;
Ljubljana;SI;;;;;;;266131;;;;;;;35.23761928;;;;;;;30.17470344;;;;;;;41.01334305;;;;;;;3.893276839
Bratislava (2);SK;;;440000;;470000;470000;6.00E+05;;;16.5762711;;25.0042386;66.05665988;10.42803048;;;12.921875;;19.15170638;48.41856383;6.11355;;;19.41263636;;30.88146809;90.12501064;15.18490333;;;2.389921934;;3.843428001;14.05301562;3.534691922
Piestany;SK;;;30000;;30000;30000;30000;;;13.98740476;;23.33770476;30.89495238;2.105425;;;11.86416667;;12.43073333;19.67066667;1.010668333;;;18.95923333;;33.642;44.7488;5.026933333;;;2.369656544;;8.513295251;8.329841088;1.816877248
Uzhhorod;UA;;;;;;116200;;;;;;;10.5248494;;;;;;;8.334939759;;;;;;;11.97805508;;;;;;;1.759686335;
Seattle;US;;;;;893000;893000;893000;;;;;80.12459929;70.79970395;129.819882;;;;;62.79965521;44.73389146;107.7730389;;;;;87.23665986;114.1265581;180.9503977;;;;;8.467401189;22.75018542;27.56482823
